"Date","Time","Open","High","Low","Close","Up","Down"
09/07/2021,05:50,4532.75,4533.25,4532.25,4533.00,140,204
09/07/2021,05:55,4533.00,4533.25,4532.25,4533.00,158,166
09/07/2021,06:00,4532.75,4533.75,4532.50,4533.75,346,156
09/07/2021,06:05,4534.00,4535.50,4533.50,4534.25,656,421
09/07/2021,06:10,4534.25,4534.50,4533.50,4534.00,174,186
09/07/2021,06:15,4534.25,4535.50,4534.25,4534.50,519,215
09/07/2021,06:20,4534.50,4537.00,4534.25,4536.75,942,283
09/07/2021,06:25,4536.75,4537.00,4535.75,4536.75,386,177
09/07/2021,06:30,4536.75,4538.25,4536.50,4537.50,728,456
09/07/2021,06:35,4537.50,4537.50,4536.50,4537.25,544,344
09/07/2021,06:40,4537.25,4538.00,4536.25,4536.25,289,357
09/07/2021,06:45,4536.50,4537.75,4536.25,4537.25,342,132
09/07/2021,06:50,4537.25,4537.75,4536.50,4537.50,135,219
09/07/2021,06:55,4537.75,4537.75,4537.00,4537.25,277,161
09/07/2021,07:00,4537.25,4537.50,4536.75,4536.75,198,265
09/07/2021,07:05,4537.00,4538.00,4536.25,4537.50,355,398
09/07/2021,07:10,4537.25,4537.75,4537.25,4537.50,183,172
09/07/2021,07:15,4537.75,4537.75,4535.75,4536.00,367,541
09/07/2021,07:20,4536.25,4536.50,4535.00,4536.00,574,713
09/07/2021,07:25,4536.00,4536.50,4535.50,4536.25,421,236
09/07/2021,07:30,4536.00,4536.50,4536.00,4536.50,351,197
09/07/2021,07:35,4536.50,4536.75,4535.25,4535.75,264,573
09/07/2021,07:40,4535.50,4536.50,4535.25,4536.25,320,457
09/07/2021,07:45,4536.25,4536.25,4535.25,4535.50,374,495
09/07/2021,07:50,4535.50,4536.00,4534.50,4534.50,282,355
09/07/2021,07:55,4534.50,4534.50,4532.50,4533.75,1286,1574
09/07/2021,08:00,4533.75,4534.25,4533.50,4534.00,447,427
09/07/2021,08:05,4533.75,4534.25,4532.75,4533.50,863,865
09/07/2021,08:10,4533.75,4534.75,4533.50,4534.25,340,307
09/07/2021,08:15,4534.25,4534.50,4533.00,4533.00,275,483
09/07/2021,08:20,4533.00,4533.25,4531.75,4532.25,494,707
09/07/2021,08:25,4532.50,4532.50,4530.25,4530.25,773,1267
09/07/2021,08:30,4530.50,4531.50,4528.75,4530.50,1863,2192
09/07/2021,08:35,4530.50,4532.00,4524.50,4525.00,12884,13804
09/07/2021,08:40,4524.75,4525.50,4522.25,4523.00,9480,12537
09/07/2021,08:45,4522.75,4524.25,4521.50,4524.25,9709,9711
09/07/2021,08:50,4524.25,4524.25,4517.25,4520.00,12705,17056
09/07/2021,08:55,4520.00,4520.00,4516.50,4517.50,7064,9652
09/07/2021,09:00,4517.75,4521.50,4516.75,4521.25,7600,5693
09/07/2021,09:05,4521.00,4521.75,4518.75,4520.25,5913,7682
09/07/2021,09:10,4520.00,4520.50,4515.25,4516.50,6626,10279
09/07/2021,09:15,4516.50,4516.50,4510.75,4514.00,9530,12968
09/07/2021,09:20,4514.00,4516.25,4512.25,4513.25,7196,7898
09/07/2021,09:25,4513.25,4517.25,4513.00,4516.00,5213,5156
09/07/2021,09:30,4516.00,4516.25,4513.75,4515.00,2767,3263
09/07/2021,09:35,4514.75,4517.50,4513.00,4515.50,5872,6158
09/07/2021,09:40,4515.25,4518.75,4515.00,4517.00,6268,5538
09/07/2021,09:45,4517.00,4518.50,4516.25,4518.50,2758,2645
09/07/2021,09:50,4518.25,4520.25,4517.75,4519.50,4404,3460
09/07/2021,09:55,4519.25,4521.25,4519.00,4519.50,4865,3431
